1908,4231,4025,4123,3866,3711,3621,0
1910,4223,3979,4123,3849,3665,3572,0
1905,4201,3968,4102,3837,3660,3561,0
1902,4213,4011,4122,3823,3646,3544,0
1902,4196,3970,4099,3809,3637,3540,0
1904,4189,3946,4084,3786,3655,3509,0
1892,4174,3958,4103,3815,3642,3540,0
1916,4152,3905,4085,3819,3641,3534,0
1843,4175,3922,4085,3802,3636,3541,0
1842,4152,3920,4039,3787,3598,3429,0
1838,4128,3899,4061,3776,3612,3507,0
1851,4116,3901,4054,3770,3603,3508,0
1839,4124,3886,4041,3768,3614,3495,0
1840,4117,3902,4033,3777,3608,3498,0
1836,4104,3895,4015,3761,3567,3489,0
1839,4071,3884,3998,3746,3561,3463,0
1831,4073,3833,3990,3722,3560,3448,0
1841,4099,3863,3971,3714,3554,3466,0
1833,4089,3859,3992,3729,3542,3460,0
1825,4081,3855,4011,3761,3591,3467,0
1832,4091,3862,3996,3738,3560,3451,0
1835,4094,3879,4016,3751,3563,3478,0
1830,4072,3862,3975,3723,3552,3470,0
1825,4084,3845,4006,3739,3551,3466,0
1829,4046,3853,3994,3736,3553,3463,0
1825,4069,3827,3975,3715,3561,3443,0
1830,4063,3853,3974,3718,3557,3472,0
1822,4065,3825,3964,3733,3563,3466,0
1822,4044,3834,3982,3722,3596,3479,0
1827,4056,3838,3976,3712,3632,3514,0
1816,4049,3847,3992,3729,3694,3542,0
1823,4049,3851,3994,3727,3764,3602,0
1811,4067,3849,4021,3766,3889,3658,0
1817,4028,3838,4056,3799,3982,3761,0
1814,4083,3856,4070,3811,4138,3847,0
1815,4062,3887,4149,3881,4262,3952,0
1822,4105,3921,4200,3939,4426,4123,0
1818,4124,3948,4275,4031,4600,4272,0
1811,4136,3979,4331,4108,4755,4408,0
1812,4187,4027,4426,4198,4882,4544,0
1819,4220,4062,4545,4318,5058,4692,0
