1908,4231,4025,4123,3866,3711,3621,2918
1910,4223,3979,4123,3849,3665,3572,2918
1905,4201,3968,4102,3837,3660,3561,2920
1902,4213,4011,4122,3823,3646,3544,2938
1902,4196,3970,4099,3809,3637,3540,2918
1904,4189,3946,4084,3786,3655,3509,2955
1892,4174,3958,4103,3815,3642,3540,2947
1916,4152,3905,4085,3819,3641,3534,2957
1843,4175,3922,4085,3802,3636,3541,2965
1842,4152,3920,4039,3787,3598,3429,2949
1838,4128,3899,4061,3776,3612,3507,2946
1851,4116,3901,4054,3770,3603,3508,2951
1839,4124,3886,4041,3768,3614,3495,2957
1840,4117,3902,4033,3777,3608,3498,2939
1836,4104,3895,4015,3761,3567,3489,2943
1839,4071,3884,3998,3746,3561,3463,2957
1831,4073,3833,3990,3722,3560,3448,2952
1841,4099,3863,3971,3714,3554,3466,2964
1833,4089,3859,3992,3729,3542,3460,2919
1825,4081,3855,4011,3761,3591,3467,2938
1832,4091,3862,3996,3738,3560,3451,2954
1835,4094,3879,4016,3751,3563,3478,2975
1830,4072,3862,3975,3723,3552,3470,2970
1825,4084,3845,4006,3739,3551,3466,2969
1829,4046,3853,3994,3736,3553,3463,2970
1825,4069,3827,3975,3715,3561,3443,2967
1830,4063,3853,3974,3718,3557,3472,2975
1822,4065,3825,3964,3733,3563,3466,2976
1822,4044,3834,3982,3722,3596,3479,2932
1827,4056,3838,3976,3712,3632,3514,2947
1816,4049,3847,3992,3729,3694,3542,2939
1823,4049,3851,3994,3727,3764,3602,2927
1811,4067,3849,4021,3766,3889,3658,2947
1817,4028,3838,4056,3799,3982,3761,2959
1814,4083,3856,4070,3811,4138,3847,2936
1815,4062,3887,4149,3881,4262,3952,2939
1822,4105,3921,4200,3939,4426,4123,2948
1818,4124,3948,4275,4031,4600,4272,2958
1811,4136,3979,4331,4108,4755,4408,2985
1812,4187,4027,4426,4198,4882,4544,2966
1819,4220,4062,4545,4318,5058,4692,2960
